incident_date,city,state,description,plan,citation
2/21/2011,st. cloud,mn,Worker at a soda bottling company was found dead inside a walk-in freezer.,unknown,unknown
7/26/2011,oakhurst,ca,Rock climbing instructor died after falling from a 26-foot tower.,unknown,unknown
8/22/2011,sahuarita,az,Worker fell off a ladder.,unknown,unknown
8/25/2011,boulder city,nv,Worker towing an airplane crashed into a building at an airport.,unknown,unknown
8/28/2011,princeton,nj,"Worker, attempting to rescue a trapped motorist in fast moving water, drowned after being separated from his tether.",unknown,unknown
8/29/2011,keanu,hi,Worker died when he struck a tree after crossing the center line on a private road.,unknown,unknown
9/6/2011,upper arlington,oh,"Worker was trimming trees from a truck-mounted basket lift, and was killed after being thrown from the basket and falling nearly 30 feet to the ground.",unknown,unknown
9/10/2011,port of miami,fl,Worker operating an excavator died when he was thrown forward in the cab and hit his head on the machine's support bar.,unknown,unknown
9/19/2011,saltsburg,pa,Worker moving an aluminum materials lift was killed when the lift touched an energized powerline.,unknown,unknown
9/20/2011,lansing,mi,"Worker cutting trees died after a falling branch struck him, causing him to fall 40 feet.",unknown,unknown
9/20/2011,paterson,nj,Worker cleaning a meat mixer died when he fell into the machine.,unknown,unknown
9/21/2011,hilo,hi,One worker was killed and another worker was hospitalized after a zipline tower collapsed.,unknown,unknown
9/22/2011,kailua,hi,Worker was killed when he fell 28 feet from a tree that fell over at its base.,unknown,unknown
9/23/2011,west sacramento,ca,Field laborer died from possible heat illness.,unknown,unknown
9/23/2011,tehachapi,ca,Logger cutting trees was struck and killed by a large falling limb.,unknown,unknown
9/24/2011,washington boro,pa,Worker died from head injuries when he slipped and fell 15 feet from a ladder.,unknown,unknown
9/26/2011,dallas,tx,Worker who was cleaning while standing on the roof of a gondola lift died after striking his head and falling off the lift.,unknown,unknown
9/26/2011,chelmsford,ma,Worker performing tree removal activities died after falling 70 feet while climbing from a crane to the tree.,unknown,unknown
9/26/2011,orlando,fl,Worker was found unresponsive on a warehouse floor.,unknown,unknown
9/26/2011,laurinburg,nc,Worker trying to access an auger motor died after becoming entangled in the machine.,unknown,unknown
9/27/2011,blooming prairie,mn,Worker was killed after he was struck in head by a 35-pound weight that fell 30 feet from a broken cable.,unknown,unknown
9/27/2011,panama city,fl,Worker installing drywall was electrocuted when he touched a 480-volt wire.,unknown,unknown
9/28/2011,fresno,ca,Worker was electrocuted while using a welder that was not grounded properly.,unknown,unknown
9/28/2011,westlake,la,Worker attempting to attach slings from a metal bar to a crane was electrocuted when he touched an energized bus bar.,unknown,unknown
9/30/2011,caruthers,ca,Worker operating a farm vehicle was killed when he hit a gate and a metal pipe struck his head.,unknown,unknown
8/12/2011,terre haute,in,Worker discovered unconscious while using a trencher to install underground TV cable.,unknown,unknown
9/19/2011,irons,mi,Worker suffered burns and died from asphyxiation after a storage facility fire.,unknown,unknown
9/21/2011,palmerton,pa,"Worker was killed when his dump truck overturned, rolled down a hill and landed on top of him.",unknown,unknown
9/21/2011,kennebunkport,me,Two workers died from overexposure to hydrogen sulfide while inside a sewer tank.,unknown,unknown
9/22/2011,stillwater,ok,"Worker, on the roof of a barn he was building, died when he fell through a skylight, hitting the floor below.",unknown,unknown
9/29/2011,dewitt,mi,"Worker building an addition on a barn was electrocuted after touching a 4,800-volt powerline.",unknown,unknown
9/30/2011,lockport,il,Worker was struck by a truck.,unknown,unknown
9/30/2011,kearney,ne,Worker using a dozer to fill a lake with sand drowned when the sand could not support the equipment's weight.,unknown,unknown
9/30/2011,northampton,pa,Worker performing maintenance on a baler was killed when falling cardboard caused him to fall back onto a protruding machine part.,unknown,unknown
9/30/2011,mckees rocks,pa,Worker performing roofing work died after falling more than 10 feet to the ground.,unknown,unknown
10/3/2011,sonora,tx,"Worker checking an air leak underneath a truck was killed when the vehicle ran over him, dragging him 80 feet.",unknown,unknown
10/4/2011,trinidad,co,Worker was injured during a vehicle accident.,unknown,unknown
10/5/2011,brenham,tx,Worker using a pole saw to trim trees was electrocuted when the saw touched a powerline.,unknown,unknown
10/5/2011,zionsville,in,Worker died after falling 22 feet when an open basket door became caught.,unknown,unknown
9/15/2011,seattle,wa,Worker removing debris with skid loader died when punctured in the neck by protruding rebar.,unknown,unknown
9/19/2011,woodland,wa,Worker pressure washing exterior of silo was electrocuted after contacting a high voltage line.,unknown,unknown
9/26/2011,ventura,ca,Worker was crushed by a piece of drill equipment while working in oilfields.,unknown,unknown
9/29/2011,draper,ut,Worker hit and killed by dump truck while removing temporary traffic control barrels.,unknown,unknown
10/4/2011,munnsville,ny,Worker died from head injuries after falling from a roof.,unknown,unknown
10/4/2011,oswego,ny,Worker was connecting hoses inside a machine and was crushed between the machine's support block and bulkhead.,unknown,unknown
10/5/2011,decatur,al,Worker was crossing a road on company property and was struck and killed by a vehicle.,unknown,unknown
10/6/2011,troy,oh,Worker performing indoor construction died when he fell nearly 20 feet from the second floor to the basement.,unknown,unknown
10/6/2011,sandersville,ga,Worker assisting on a power transmission line was electrocuted when he touched a loose cable.,unknown,unknown
10/6/2011,bailey,co,Worker was struck and killed by a rock while at a construction site.,unknown,unknown
10/7/2011,goshen,in,Worker suffocated after falling into a pit of insulation.,unknown,unknown
10/7/2011,paintsville,ky,Worker traveling to another work location fell out of back of truck and struck head on ground.,unknown,unknown
10/7/2011,manheim,pa,Worker disconnecting an airline underneath a truck was asphyxiated when his head was caught between the spare tire and a bracket.,unknown,unknown
10/7/2011,williamstown,ma,Worker was crushed under the front and rear tires of a powered industrial vehicle.,unknown,unknown
10/8/2011,romeoville,il,Worker lubricating a chain on an automation conveyor died after falling 9 feet from an I-beam to the concrete floor.,unknown,unknown
10/10/2011,houma,la,Worker was killed when a load of metal plates he was moving fell on top of him.,unknown,unknown
10/10/2011,lisbon,oh,Worker died after falling 14 feet from a roof onto the concrete floor.,unknown,unknown
10/10/2011,st. louis,mo,Worker was found unconscious in a manhole.,unknown,unknown
10/10/2011,sugar land,tx,Worker died of a possible heart attack after collapsing while unloading his work truck.,unknown,unknown
10/12/2011,lima,oh,Worker was performing roofing work on a melt shop and was fatally injured.,unknown,unknown
10/12/2011,lamont,ca,Worker died after being overcome by toxic fumes while cleaning the inside of a drain pipe.,unknown,unknown
10/12/2011,la honda,ca,Worker was killed when the loaded concrete mixer truck he was driving rolled over.,unknown,unknown
10/12/2011,centreville,mn,Worker repairing commercial sign was electrocuted after touching live electrical parts.,unknown,unknown
10/13/2011,burnsville,mn,One worker killed and one injured after being struck by a vehicle that entered a construction zone after going off road.,unknown,unknown
10/13/2011,lodi,ca,Worker attempting to stop a moving railcar was crushed between railcar and dock.,unknown,unknown
10/13/2011,bolden,ca,Two workers died after their work truck sank 25 feet in a reservoir.,unknown,unknown
10/14/2011,pinch,wv,Worker installing cable between utility poles was electrocuted.,unknown,unknown
9/30/2011,colfax,ia,Roof worker died when he fell 20 feet after stepping on a fiberglass skylite.,unknown,unknown
10/2/2011,sparta,ky,Photographer on assignment at a race track suffered fatal head injuries after falling on track.,unknown,unknown
10/4/2011,etowah,nc,Worker operating a metal cutting machine was killed when caught between machine's back gauge and top plate.,unknown,unknown
10/5/2011,hampden,ma,Worker drilling a hole for a well died after he stepped back and fell 10 feet down into water.,unknown,unknown
10/13/2011,monroe,ga,"Worker operating a truck's boom was electrocuted when the boom touched a 14,400-volt power line.",unknown,unknown
