incident_date,city,state,description,plan,citation
7/6/2010,yuma,az,Worker was backing a forklift up an incline. Forklift fell backwards off loading dock onto operator who was not wearing seatbelt. He died of a broken neck.,unknown,unknown
8/27/2010,galveston,tx,Worker was removing sheet metal air conditioning ductwork that cut into a 240-volt electrical line and was electrocuted.,unknown,unknown
9/14/2010,raleigh,nc,Worker was found unresponsive at the base of a 20-foot ladder.The probable cause of death was noted as a cervical neck fracture due to a fall.,unknown,unknown
9/17/2010,los angeles,ca,"Worker (security guard) was struck by tractor trailer and dragged, resulting in fatal injuries.",unknown,unknown
9/18/2010,belcourt,nd,Worker was working underneath a house in the process of being moved and was crushed after the house collapsed.,unknown,unknown
9/22/2010,hudson falls,ny,Worker fell 6 to 8 feet from height.,unknown,unknown
9/22/2010,phoenix,az,"Worker was operating a powered industrial truck when the counterweight of an excavator caused the truck to rollover, crushing the worker's head.",unknown,unknown
9/22/2010,tucson,az,Worker mounting exhaust blower motor fell 16 feet from ladder on a roof to the ground.,unknown,unknown
9/25/2010,orland,ca,Worker suffered fatal injuries after being crushed under an elevated harvesting machine. The support block had been removed after the repairs and the worker was crushed when he went to retrieve hand tools left underneath the machine.,unknown,unknown
9/26/2010,melville,ny,Worker was crushed between golf cart and parked trailer.,unknown,unknown
9/27/2010,parkersburg,wv,"Worker was pouring concrete, fell forward and was caught by another worker. Hypertension and environmental heat stroke possible.",unknown,unknown
9/27/2010,tulsa,ok,Worker was struck by a two-ton object.,unknown,unknown
9/28/2010,redfield,ny,Worker was struck by a tree.,unknown,unknown
9/28/2010,alexandria,mn,"Worker at state fairgrounds was pushing trash with leg, fell and hit head on cement floor.",unknown,unknown
9/28/2010,el paso,tx,Worker was in the process of installing a thermostat line and was electrocuted.,unknown,unknown
9/29/2010,ocala,fl,"Worker had finished construction of a parking lot and said he was not feeling well. He was found sitting in the truck and was taken to the hospital, possible heart attack.",unknown,unknown
9/29/2010,shelbyville,in,Worker suffered fatal injuries after getting pinned up under conveyor while doing maintenance work.,unknown,unknown
9/30/2010,miami beach,fl,"Worker was working from a suspension scaffold, using a 7-foot aluminum extension pole on a paint roller. Worker was electrocuted after contacting an overhead power line.",unknown,unknown
9/2/2010,middletown,ct,State Police Trooper doing paperwork in his vehicle during a traffic stop was struck from behind by another vehicle traveling at a high rate of speed.,unknown,unknown
9/23/2010,city,ut,"Worker was cutting a tree limb from roof of 3-story apartment building when the limb broke, knocking the worker 29 feet to the lower level.",unknown,unknown
9/23/2010,peoria,az,"Worker suffered fatal injuries when an excavator tipped over, pinning him.",unknown,unknown
